,frog,bird,dog,car,step,murmullo
3017,"[[83 0.5 -119]
 [172 0.5 -120]
 [174 0.5 -154]]","[[131 3.5 -90]
 [114 3.5 -158]
 [78 3.5 -91]
 [198 3.5 -186]]",[],[],[],[]
3018,"[[155 0.5 -95]
 [159 0.5 -138]
 [168 0.5 -152]]","[[117 5.5 -87]
 [113 5.5 -140]
 [115 5.5 -127]]",[],[[243 1.0 -3]],[],[]
3019,"[[163 0.5 -102]
 [91 0.5 -104]]",[[165 2.5 -149]],[],[],[],[]
3020,"[[122 0.5 -84]
 [106 0.5 -157]
 [132 0.5 -162]
 [146 0.5 -168]]","[[111 19.5 -104]
 [57 19.5 -31]]",[],[],[],[]
3021,"[[139 0.5 -117]
 [123 0.5 -105]]",[[129 4.5 -112]],[[10 0.5 -231]],[],[],[]
3022,"[[83 0.5 -128]
 [82 0.5 -79]
 [132 0.5 -144]]","[[108 4.5 -86]
 [153 4.5 -88]]",[[7 0.5 -7]],[],[[229 0.5 -233]],[[226 1.5 -228]]
3023,"[[130 0.5 -135]
 [130 0.5 -101]]","[[83 17.5 -83]
 [146 17.5 -154]
 [19 17.5 -233]]",[],[[4 1.0 -245]],[],[]
3024,"[[83 0.5 -129]
 [168 0.5 -106]]",[[112 4.5 -77]],[[231 0.5 -226]],[[228 1.0 -247]],[],[]
3025,"[[131 0.5 -170]
 [94 0.5 -100]]","[[152 16.5 -128]
 [148 16.5 -133]
 [166 16.5 -144]
 [32 16.5 -214]]",[],[],[],[]
3026,"[[171 0.5 -111]
 [110 0.5 -107]
 [203 0.5 -218]]","[[121 19.5 -146]
 [218 19.5 -183]]",[],[],[],[]
3027,"[[89 0.5 -151]
 [159 0.5 -92]
 [128 0.5 -130]]","[[157 7.5 -102]
 [147 7.5 -118]]",[[5 0.5 -8]],[],[],[]
3028,"[[80 0.5 -75]
 [105 0.5 -84]
 [204 0.5 -59]]","[[97 13.5 -107]
 [136 13.5 -160]
 [109 13.5 -133]
 [40 13.5 -196]]",[],[],[[52 0.5 -43]],[]
3029,"[[102 0.5 -89]
 [120 0.5 -163]
 [94 0.5 -172]]","[[107 19.5 -129]
 [147 19.5 -123]
 [174 19.5 -96]]",[],[],[],[]
3030,"[[152 0.5 -97]
 [159 0.5 -158]
 [153 0.5 -87]
 [87 0.5 -86]]","[[121 14.5 -135]
 [81 14.5 -138]
 [179 14.5 -25]]",[],[[244 1.0 -226]],[],[]
3031,"[[131 0.5 -150]
 [165 0.5 -167]
 [154 0.5 -100]
 [146 0.5 -148]]",[[169 10.5 -83]],[],[],[],[]
3032,"[[138 0.5 -137]
 [136 0.5 -116]
 [87 0.5 -144]
 [130 0.5 -100]]","[[92 0.5 -160]
 [41 0.5 -210]]",[[247 0.5 -11]],[],[],[]
3033,"[[148 0.5 -174]
 [149 0.5 -75]
 [138 0.5 -146]]","[[110 10.5 -95]
 [93 10.5 -92]
 [100 10.5 -121]]",[],[],[[6 0.5 -244]],[]
3034,"[[114 0.5 -135]
 [96 0.5 -134]
 [119 0.5 -121]]",[[160 8.5 -164]],[[16 0.5 -240]],[],[],[]
3035,"[[166 0.5 -99]
 [143 0.5 -135]
 [106 0.5 -136]]","[[161 9.5 -93]
 [243 9.5 -245]]",[],[],[],[]
3036,"[[154 0.5 -169]
 [142 0.5 -128]]","[[146 12.5 -109]
 [169 12.5 -90]
 [83 12.5 -98]
 [189 12.5 -193]
 [239 12.5 -226]]",[],[],[],[[220 1.5 -45]]
3037,"[[137 0.5 -135]
 [167 0.5 -85]]","[[103 10.5 -96]
 [174 10.5 -116]
 [172 10.5 -81]]",[],[[17 1.0 -1]],[],[]
3038,"[[101 0.5 -149]
 [149 0.5 -166]]","[[108 5.5 -78]
 [79 5.5 -144]
 [199 5.5 -26]]",[[247 0.5 -6]],[],[[235 0.5 -244]],[]
3039,"[[77 0.5 -113]
 [82 0.5 -120]
 [78 0.5 -117]
 [70 0.5 -50]]","[[141 18.5 -108]
 [209 18.5 -56]]",[],[],[],[]
3040,"[[159 0.5 -152]
 [79 0.5 -156]
 [135 0.5 -167]]","[[132 9.5 -130]
 [166 9.5 -146]]",[],[],[],[]
3041,"[[144 0.5 -134]
 [89 0.5 -144]]","[[121 5.5 -138]
 [166 5.5 -116]
 [78 5.5 -88]]",[],[],[],[]
3042,"[[167 0.5 -90]
 [127 0.5 -111]
 [88 0.5 -122]]","[[78 5.5 -88]
 [47 5.5 -52]]",[[52 0.5 -54]],[[236 1.0 -226]],[],[]
3043,"[[118 0.5 -83]
 [161 0.5 -141]
 [173 0.5 -101]]","[[135 0.5 -153]
 [176 0.5 -223]]",[],[[245 1.0 -237]],[],[[231 1.5 -226]]
3044,"[[93 0.5 -84]
 [130 0.5 -89]
 [121 0.5 -174]]",[[152 10.5 -150]],[],[[229 1.0 -230]],[],[]
3045,"[[86 0.5 -91]
 [114 0.5 -119]
 [157 0.5 -134]]","[[78 18.5 -168]
 [180 18.5 -199]]",[],[],[],[]
3046,"[[142 0.5 -160]
 [139 0.5 -166]]","[[164 4.5 -98]
 [87 4.5 -133]]",[],[],[],[]
3047,"[[117 0.5 -121]
 [145 0.5 -100]]","[[114 12.5 -143]
 [97 12.5 -140]
 [113 12.5 -173]
 [43 12.5 -71]]",[[242 0.5 -1]],[],[],[]
3048,"[[159 0.5 -99]
 [155 0.5 -156]]",[[167 14.5 -106]],[],[[228 1.0 -230]],[[21 0.5 -11]],"[[40 1.5 -33]
 [20 1.5 -234]]"
3049,"[[171 0.5 -164]
 [120 0.5 -110]
 [170 0.5 -88]]","[[91 9.5 -164]
 [112 9.5 -76]
 [129 9.5 -112]]",[[8 0.5 -20]],[[20 1.0 -245]],[],[]
3050,"[[100 0.5 -144]
 [95 0.5 -102]]",[[80 5.5 -82]],[],[],[],[[218 1.5 -210]]
3051,"[[112 0.5 -106]
 [140 0.5 -150]]","[[78 12.5 -153]
 [127 12.5 -146]
 [219 12.5 -35]]",[[180 0.5 -58]],[],[],[]
3052,"[[89 0.5 -170]
 [93 0.5 -77]
 [134 0.5 -127]]","[[159 14.5 -87]
 [164 14.5 -102]
 [36 14.5 -65]
 [6 14.5 -245]]",[],[],[[245 0.5 -245]],[]
3053,"[[123 0.5 -117]
 [88 0.5 -140]
 [150 0.5 -166]
 [119 0.5 -101]]","[[99 11.5 -155]
 [210 11.5 -182]]",[],[],[],[]
3054,"[[167 0.5 -169]
 [113 0.5 -93]]","[[112 7.5 -87]
 [70 7.5 -64]]",[[0 0.5 -226]],[],[],[[5 1.5 -238]]
3055,"[[92 0.5 -76]
 [164 0.5 -120]
 [141 0.5 -148]]","[[83 12.5 -163]
 [101 12.5 -93]
 [188 12.5 -206]]",[],[],[],[]
3056,"[[78 0.5 -141]
 [139 0.5 -110]]","[[174 8.5 -93]
 [222 8.5 -200]]",[[18 0.5 -24]],[],[],[]
3057,"[[123 0.5 -118]
 [83 0.5 -166]
 [93 0.5 -81]]","[[165 6.5 -144]
 [158 6.5 -85]
 [150 6.5 -95]
 [29 6.5 -29]]",[[232 0.5 -240]],[],[],[]
3058,"[[162 0.5 -103]
 [151 0.5 -147]
 [86 0.5 -148]]",[[157 0.5 -127]],[],[],[],[[59 1.5 -209]]
3059,"[[138 0.5 -116]
 [141 0.5 -97]
 [148 0.5 -160]]",[[85 13.5 -87]],[],[],[],[[13 1.5 -227]]
3060,"[[88 0.5 -79]
 [171 0.5 -140]]","[[135 10.5 -104]
 [140 10.5 -144]
 [97 10.5 -80]]",[[249 0.5 -236]],[],[],[]
3061,"[[168 0.5 -112]
 [99 0.5 -80]
 [119 0.5 -138]]","[[84 5.5 -154]
 [77 5.5 -127]
 [88 5.5 -129]]",[[234 0.5 -226]],[],[],[[65 1.5 -44]]
3062,"[[83 0.5 -108]
 [133 0.5 -138]
 [84 0.5 -123]]",[[131 0.5 -141]],[[12 0.5 -9]],[],[],[]
3063,"[[81 0.5 -116]
 [174 0.5 -131]
 [128 0.5 -150]]","[[131 15.5 -112]
 [132 15.5 -117]
 [199 15.5 -33]
 [17 15.5 -18]]",[[246 0.5 -21]],[],[[221 0.5 -64]],[]
3064,"[[158 0.5 -168]
 [106 0.5 -163]]","[[143 0.5 -79]
 [165 0.5 -129]]",[],[[232 1.0 -11]],[],[]
3065,"[[105 0.5 -133]
 [79 0.5 -127]]",[[144 15.5 -164]],[],[],[],[[55 1.5 -203]]
3066,"[[132 0.5 -117]
 [148 0.5 -166]
 [221 0.5 -197]]",[[172 1.5 -113]],[[227 0.5 -12]],[],[],[]
3067,"[[108 0.5 -95]
 [95 0.5 -80]
 [93 0.5 -118]]","[[82 17.5 -76]
 [94 17.5 -96]
 [188 17.5 -65]]",[],[],[],[]
3068,"[[172 0.5 -122]
 [131 0.5 -156]]","[[130 9.5 -91]
 [169 9.5 -122]
 [147 9.5 -122]]",[],[],[],[]
3069,"[[141 0.5 -171]
 [142 0.5 -98]]",[[165 3.5 -107]],[[15 0.5 -10]],[],[],[]
3070,"[[132 0.5 -91]
 [116 0.5 -121]]",[[154 19.5 -101]],[],[],[],[]
3071,"[[148 0.5 -82]
 [92 0.5 -102]]","[[122 18.5 -161]
 [153 18.5 -86]
 [212 18.5 -45]]",[[6 0.5 -232]],[],[],[]
3072,"[[87 0.5 -139]
 [149 0.5 -133]
 [139 0.5 -95]]","[[118 14.5 -98]
 [84 14.5 -82]
 [99 14.5 -146]
 [211 14.5 -218]]",[],[],[],[]
3073,"[[83 0.5 -116]
 [135 0.5 -145]
 [95 0.5 -166]
 [66 0.5 -192]]","[[105 2.5 -79]
 [89 2.5 -105]
 [201 2.5 -192]
 [246 2.5 -245]]",[[2 0.5 -9]],[],[[247 0.5 -6]],[[24 1.5 -229]]
3074,"[[128 0.5 -100]
 [112 0.5 -102]]","[[79 19.5 -86]
 [169 19.5 -134]]",[[216 0.5 -186]],[],[],"[[183 1.5 -70]
 [8 1.5 -247]]"
3075,"[[165 0.5 -103]
 [115 0.5 -113]
 [171 0.5 -91]]","[[98 5.5 -169]
 [129 5.5 -145]
 [26 5.5 -224]]",[],[],[],[]
3076,"[[96 0.5 -107]
 [87 0.5 -156]
 [42 0.5 -203]]","[[163 2.5 -91]
 [151 2.5 -140]
 [106 2.5 -132]]",[[231 0.5 -16]],[],[],[]
3077,"[[104 0.5 -106]
 [94 0.5 -92]]",[[174 17.5 -113]],[],[],[],[]
3078,"[[160 0.5 -80]
 [101 0.5 -100]
 [130 0.5 -158]
 [170 0.5 -161]]","[[166 11.5 -150]
 [81 11.5 -140]
 [16 11.5 -9]]",[[226 0.5 0]],[],[[9 0.5 -7]],[]
3079,"[[83 0.5 -86]
 [159 0.5 -103]]","[[139 8.5 -75]
 [53 8.5 -51]]",[[6 0.5 -20]],[],[],[]
3080,"[[87 0.5 -133]
 [142 0.5 -102]
 [111 0.5 -77]]",[[134 4.5 -172]],[],[[19 1.0 -243]],[[226 0.5 -243]],[]
3081,"[[85 0.5 -84]
 [153 0.5 -166]]","[[97 5.5 -113]
 [140 5.5 -119]
 [133 5.5 -113]]",[],[],[],[]
3082,"[[101 0.5 -157]
 [121 0.5 -105]]","[[97 1.5 -114]
 [91 1.5 -108]
 [155 1.5 -84]]",[[233 0.5 -17]],[],[],[[224 1.5 -211]]
3083,"[[89 0.5 -106]
 [113 0.5 -127]
 [167 0.5 -82]]","[[142 13.5 -97]
 [73 13.5 -198]]",[],[[247 1.0 -11]],[],[]
3084,"[[169 0.5 -120]
 [149 0.5 -142]]","[[136 15.5 -168]
 [123 15.5 -114]]",[],[],[],[]
3085,"[[145 0.5 -130]
 [130 0.5 -106]]","[[109 10.5 -128]
 [232 10.5 -19]]",[[52 0.5 -198]],[],[],[]
3086,"[[94 0.5 -170]
 [174 0.5 -99]
 [88 0.5 -111]]",[[151 7.5 -145]],[[22 0.5 -13]],[],[],[]
3087,"[[101 0.5 -128]
 [167 0.5 -100]]","[[155 13.5 -97]
 [180 13.5 -64]]",[[14 0.5 -17]],[],[],[[223 1.5 -215]]
3088,"[[122 0.5 -130]
 [166 0.5 -131]]",[[109 17.5 -130]],[],[[24 1.0 -13]],[],[[245 1.5 -245]]
3089,"[[106 0.5 -163]
 [172 0.5 -120]]","[[86 17.5 -153]
 [127 17.5 -94]
 [47 17.5 -41]]",[],[],[],[]
3090,"[[92 0.5 -91]
 [143 0.5 -157]
 [72 0.5 -203]]","[[165 17.5 -165]
 [150 17.5 -141]]",[],[],"[[221 0.5 -74]
 [226 0.5 -5]]",[]
3091,"[[164 0.5 -118]
 [96 0.5 -127]]",[[166 10.5 -78]],"[[182 0.5 -52]
 [231 0.5 -227]]",[[21 1.0 -10]],[],[[63 1.5 -214]]
3092,"[[101 0.5 -117]
 [97 0.5 -77]
 [147 0.5 -117]
 [79 0.5 -144]]","[[168 1.5 -91]
 [105 1.5 -170]
 [220 1.5 -66]]",[[6 0.5 -1]],[],[],[]
3093,"[[170 0.5 -130]
 [142 0.5 -113]
 [145 0.5 -119]]","[[92 14.5 -131]
 [143 14.5 -76]
 [137 14.5 -134]]",[[233 0.5 -236]],[],[],[]
3094,"[[90 0.5 -143]
 [167 0.5 -79]
 [128 0.5 -116]]","[[156 4.5 -158]
 [170 4.5 -92]
 [219 4.5 -62]]",[[226 0.5 -20]],[],[],[]
3095,"[[90 0.5 -139]
 [105 0.5 -117]
 [160 0.5 -161]
 [128 0.5 -150]]",[[123 17.5 -144]],[[247 0.5 -241]],[],[],[]
3096,"[[151 0.5 -83]
 [169 0.5 -166]]",[[174 11.5 -107]],[],[],[],[]
3097,"[[153 0.5 -106]
 [141 0.5 -149]
 [143 0.5 -93]]","[[122 12.5 -79]
 [152 12.5 -80]
 [35 12.5 -73]]",[[247 0.5 -22]],[],[],[]
3098,"[[104 0.5 -154]
 [173 0.5 -144]]","[[161 17.5 -138]
 [92 17.5 -101]
 [96 17.5 -75]]",[[11 0.5 -231]],[],[],[]
3099,"[[118 0.5 -150]
 [169 0.5 -75]
 [169 0.5 -96]
 [115 0.5 -166]]","[[78 0.5 -127]
 [166 0.5 -105]
 [100 0.5 -112]
 [73 0.5 -220]]",[[227 0.5 -3]],[],[],[[239 1.5 -13]]
3100,"[[107 0.5 -119]
 [158 0.5 -103]]","[[150 16.5 -160]
 [159 16.5 -119]]",[[17 0.5 -228]],[],[],[]
3101,"[[118 0.5 -130]
 [159 0.5 -131]
 [142 0.5 -148]]","[[91 19.5 -117]
 [167 19.5 -117]
 [85 19.5 -174]]",[],[],[],[]
3102,"[[94 0.5 -81]
 [129 0.5 -151]]","[[170 3.5 -141]
 [85 3.5 -133]]",[[29 0.5 -182]],[],[],[]
3103,"[[84 0.5 -114]
 [94 0.5 -132]
 [133 0.5 -151]
 [115 0.5 -117]]","[[159 10.5 -93]
 [103 10.5 -152]
 [157 10.5 -127]
 [32 10.5 -215]]",[],[],[],[[1 1.5 -20]]
3104,"[[77 0.5 -128]
 [163 0.5 -87]
 [158 0.5 -144]]","[[128 18.5 -119]
 [90 18.5 -76]]",[],[],[],[]
3105,"[[105 0.5 -106]
 [144 0.5 -103]
 [150 0.5 -130]
 [141 0.5 -157]]","[[149 11.5 -102]
 [61 11.5 -212]]",[],[],[],[]
3106,"[[116 0.5 -110]
 [136 0.5 -168]]","[[118 1.5 -143]
 [35 1.5 -177]]",[[248 0.5 -22]],[],[[228 0.5 -231]],[]
3107,"[[170 0.5 -164]
 [173 0.5 -136]]","[[152 17.5 -119]
 [199 17.5 -204]]",[],[],[[230 0.5 -3]],[]
3108,"[[129 0.5 -165]
 [152 0.5 -146]
 [137 0.5 -81]]","[[169 2.5 -88]
 [159 2.5 -104]
 [128 2.5 -172]]",[],[],[],[[31 1.5 -186]]
3109,"[[168 0.5 -147]
 [84 0.5 -117]]","[[81 7.5 -79]
 [158 7.5 -79]
 [230 7.5 -21]]",[],[],[],[]
3110,"[[112 0.5 -99]
 [141 0.5 -166]
 [211 0.5 -194]]","[[117 13.5 -77]
 [137 13.5 -84]]",[],[],[],[]
3111,"[[77 0.5 -80]
 [163 0.5 -154]
 [143 0.5 -97]]","[[89 16.5 -92]
 [49 16.5 -67]]",[],[],[],[]
3112,"[[112 0.5 -118]
 [153 0.5 -158]
 [74 0.5 -205]]","[[79 6.5 -162]
 [88 6.5 -115]
 [205 6.5 -212]]",[[8 0.5 -233]],[],[[23 0.5 -226]],[]
3113,"[[150 0.5 -84]
 [108 0.5 -91]]","[[85 14.5 -93]
 [221 14.5 -188]]",[],[],[],[]
3114,"[[130 0.5 -89]
 [83 0.5 -147]
 [160 0.5 -157]]","[[76 5.5 -134]
 [99 5.5 -79]
 [203 5.5 -70]]",[],[],[],[]
3115,"[[121 0.5 -163]
 [90 0.5 -129]
 [149 0.5 -163]
 [146 0.5 -138]]",[[149 15.5 -84]],[],[[23 1.0 -24]],[],[[44 1.5 -208]]
3116,"[[172 0.5 -87]
 [85 0.5 -81]]","[[161 8.5 -78]
 [145 8.5 -142]
 [164 8.5 -118]]",[],[[235 1.0 -12]],[[37 0.5 -203]],[]
3117,"[[93 0.5 -98]
 [114 0.5 -96]
 [26 0.5 -58]]","[[160 1.5 -93]
 [104 1.5 -117]
 [56 1.5 -50]]",[],[],[],[]
3118,"[[99 0.5 -89]
 [157 0.5 -102]
 [122 0.5 -110]
 [92 0.5 -162]]","[[141 11.5 -97]
 [234 11.5 -20]]",[[243 0.5 -8]],[],[],[]
3119,"[[174 0.5 -132]
 [97 0.5 -169]
 [139 0.5 -84]
 [99 0.5 -75]]","[[163 7.5 -91]
 [114 7.5 -107]
 [213 7.5 -213]]",[],[],[],[]
3120,"[[168 0.5 -174]
 [117 0.5 -170]
 [155 0.5 -165]
 [49 0.5 -198]]","[[161 16.5 -171]
 [162 16.5 -133]
 [185 16.5 -194]]",[[18 0.5 -231]],[],[],[]
3121,"[[133 0.5 -107]
 [115 0.5 -91]]","[[105 14.5 -152]
 [34 14.5 -55]]",[],[],[],[]
3122,"[[90 0.5 -82]
 [77 0.5 -119]
 [101 0.5 -113]
 [168 0.5 -109]]","[[143 6.5 -86]
 [130 6.5 -168]
 [59 6.5 -202]]",[],[],[],[]
3123,"[[108 0.5 -105]
 [120 0.5 -80]]","[[103 17.5 -171]
 [91 17.5 -134]
 [88 17.5 -147]
 [214 17.5 -214]]",[[243 0.5 -20]],[],[],[]
3124,"[[90 0.5 -154]
 [164 0.5 -121]
 [143 0.5 -114]]","[[117 3.5 -103]
 [100 3.5 -141]
 [81 3.5 -76]]",[],[],[],[]
3125,"[[155 0.5 -80]
 [110 0.5 -79]
 [109 0.5 -112]]","[[147 5.5 -152]
 [166 5.5 -78]
 [153 5.5 -172]]",[],[],[],[]
3126,"[[148 0.5 -150]
 [106 0.5 -109]]","[[77 17.5 -114]
 [76 17.5 -81]
 [4 17.5 -237]]",[],[],[],[]
3127,"[[110 0.5 -83]
 [107 0.5 -109]
 [183 0.5 -201]]","[[104 5.5 -145]
 [40 5.5 -196]]",[[18 0.5 -11]],[],[],[]
3128,"[[158 0.5 -165]
 [143 0.5 -164]
 [105 0.5 -81]]","[[129 4.5 -154]
 [111 4.5 -115]
 [149 4.5 -137]
 [248 4.5 -17]]",[],[],[],[]
3129,"[[130 0.5 -148]
 [148 0.5 -107]
 [165 0.5 -88]]","[[141 7.5 -174]
 [164 7.5 -82]
 [163 7.5 -93]
 [212 7.5 -190]]",[],[[245 1.0 -9]],[],[]
3130,"[[162 0.5 -111]
 [170 0.5 -170]]",[[89 9.5 -75]],[],[[2 1.0 -11]],[],[]
3131,"[[82 0.5 -78]
 [167 0.5 -82]]","[[83 18.5 -95]
 [52 18.5 -176]]",[],[],[],[]
3132,"[[107 0.5 -90]
 [96 0.5 -172]
 [123 0.5 -87]]","[[140 10.5 -162]
 [80 10.5 -123]
 [103 10.5 -106]]",[],[],[],[]
3133,"[[168 0.5 -133]
 [145 0.5 -166]]","[[82 3.5 -110]
 [51 3.5 -40]]",[],[],[],[]
3134,"[[131 0.5 -97]
 [158 0.5 -144]]","[[99 4.5 -117]
 [153 4.5 -94]
 [71 4.5 -56]]",[[237 0.5 -248]],[],[],[]
3135,"[[147 0.5 -151]
 [143 0.5 -85]
 [219 0.5 -35]]","[[130 17.5 -114]
 [122 17.5 -103]
 [35 17.5 -204]
 [226 17.5 -237]]",[],[],[],[]
3136,"[[105 0.5 -151]
 [76 0.5 -137]]","[[92 7.5 -117]
 [84 7.5 -95]
 [190 7.5 -188]]",[],[],[[235 0.5 -244]],[[176 1.5 -44]]
3137,"[[171 0.5 -83]
 [150 0.5 -165]
 [117 0.5 -101]]",[[161 1.5 -153]],[[232 0.5 -243]],[],[],[]
3138,"[[116 0.5 -80]
 [169 0.5 -96]
 [152 0.5 -170]
 [150 0.5 -130]]",[[104 5.5 -132]],[],[],[],[]
3139,"[[100 0.5 -134]
 [90 0.5 -162]]","[[94 18.5 -113]
 [101 18.5 -128]]",[[7 0.5 -1]],[],[],[]
3140,"[[144 0.5 -150]
 [76 0.5 -76]
 [112 0.5 -166]
 [155 0.5 -161]]","[[110 19.5 -114]
 [222 19.5 -65]]",[[14 0.5 -228]],[],[],[]
3141,"[[85 0.5 -92]
 [98 0.5 -123]
 [92 0.5 -76]]","[[157 18.5 -122]
 [144 18.5 -109]
 [44 18.5 -35]
 [246 18.5 -19]]",[[245 0.5 -244]],[[23 1.0 -243]],[],[]
3142,"[[120 0.5 -153]
 [85 0.5 -107]]","[[140 17.5 -164]
 [155 17.5 -89]
 [28 17.5 -59]
 [238 17.5 -23]]",[],[],[],[]
3143,"[[162 0.5 -102]
 [88 0.5 -106]
 [134 0.5 -158]]","[[114 5.5 -87]
 [149 5.5 -144]]",[],[],[[179 0.5 -194]],[]
3144,"[[95 0.5 -150]
 [152 0.5 -150]
 [165 0.5 -121]]",[[151 11.5 -172]],[[33 0.5 -49]],[[24 1.0 -11]],[],[]
3145,"[[149 0.5 -151]
 [135 0.5 -163]]","[[104 8.5 -174]
 [218 8.5 -74]]",[],[],[],[[221 1.5 -191]]
3146,"[[117 0.5 -158]
 [94 0.5 -162]]","[[164 8.5 -117]
 [198 8.5 -178]]",[[238 0.5 -229]],[],[],[]
3147,"[[155 0.5 -119]
 [123 0.5 -143]]",[[138 2.5 -115]],[[8 0.5 -231]],[],[],[]
3148,"[[83 0.5 -135]
 [89 0.5 -123]
 [99 0.5 -127]]",[[114 11.5 -91]],[],[],[],[]
3149,"[[112 0.5 -139]
 [162 0.5 -81]]","[[106 10.5 -76]
 [146 10.5 -90]
 [184 10.5 -54]]",[[13 0.5 -7]],[],[],[]
3150,"[[158 0.5 -115]
 [148 0.5 -140]
 [156 0.5 -153]
 [132 0.5 -172]]",[[167 17.5 -152]],[],[[238 1.0 -237]],[[184 0.5 -54]],[]
3151,"[[97 0.5 -114]
 [161 0.5 -83]
 [219 0.5 -205]]","[[159 14.5 -133]
 [113 14.5 -155]
 [138 14.5 -148]
 [64 14.5 -210]
 [19 14.5 -243]]",[[246 0.5 -233]],[],[],[]
3152,"[[76 0.5 -100]
 [94 0.5 -141]
 [78 0.5 -81]]","[[168 14.5 -173]
 [150 14.5 -155]
 [103 14.5 -160]
 [176 14.5 -49]]",[[235 0.5 -233]],[],[[194 0.5 -25]],[]
3153,"[[161 0.5 -161]
 [164 0.5 -131]
 [176 0.5 -209]]","[[114 16.5 -98]
 [188 16.5 -216]]",[],[],[],[]
3154,"[[133 0.5 -89]
 [114 0.5 -141]]","[[114 14.5 -107]
 [51 14.5 -214]]",[],[],[],[]
3155,"[[150 0.5 -120]
 [167 0.5 -153]]",[[81 16.5 -119]],"[[215 0.5 -178]
 [247 0.5 -238]]",[],[],[]
3156,"[[128 0.5 -171]
 [78 0.5 -113]
 [84 0.5 -143]
 [137 0.5 -121]
 [218 0.5 -200]]","[[111 13.5 -100]
 [18 13.5 -232]]",[[24 0.5 -11]],[],[],[]
3157,"[[157 0.5 -89]
 [78 0.5 -149]
 [160 0.5 -150]]","[[85 12.5 -78]
 [174 12.5 -143]
 [199 12.5 -60]
 [10 12.5 -20]]",[],[[235 1.0 -6]],[],[]
3158,"[[83 0.5 -168]
 [89 0.5 -149]]","[[91 13.5 -88]
 [154 13.5 -128]
 [98 13.5 -122]]",[],[[232 1.0 -16]],[[8 0.5 -11]],[]
3159,"[[148 0.5 -134]
 [82 0.5 -107]]","[[165 15.5 -90]
 [88 15.5 -101]]",[[211 0.5 -39]],[],[],[[71 1.5 -202]]
3160,"[[128 0.5 -89]
 [135 0.5 -78]
 [147 0.5 -95]]","[[122 4.5 -108]
 [114 4.5 -75]]","[[213 0.5 -53]
 [11 0.5 -14]]",[],[],[]
3161,"[[98 0.5 -86]
 [169 0.5 -87]]","[[138 18.5 -167]
 [75 18.5 -148]
 [62 18.5 -177]]",[[245 0.5 -228]],[],[],[]
3162,"[[105 0.5 -152]
 [99 0.5 -148]]","[[123 2.5 -110]
 [129 2.5 -83]]",[],[],[],[]
3163,"[[156 0.5 -144]
 [147 0.5 -170]]","[[115 13.5 -80]
 [157 13.5 -79]
 [87 13.5 -115]
 [62 13.5 -191]]",[[12 0.5 -6]],[],[],[]
3164,"[[166 0.5 -153]
 [103 0.5 -77]
 [107 0.5 -77]]",[[127 15.5 -111]],[],[],[],[]
3165,"[[115 0.5 -129]
 [118 0.5 -86]]",[[96 4.5 -112]],[[3 0.5 -22]],[],[],[]
3166,"[[121 0.5 -167]
 [120 0.5 -151]
 [147 0.5 -172]]","[[158 19.5 -94]
 [75 19.5 -81]]","[[35 0.5 -209]
 [19 0.5 -239]]",[],[],[]
3167,"[[140 0.5 -174]
 [97 0.5 -113]
 [98 0.5 -132]]","[[153 7.5 -137]
 [174 7.5 -158]]",[[4 0.5 -21]],[],[],[[221 1.5 -180]]
3168,"[[140 0.5 -87]
 [119 0.5 -133]
 [165 0.5 -120]]","[[100 6.5 -154]
 [117 6.5 -85]
 [127 6.5 -155]
 [224 6.5 -54]]",[],[],[],[]
3169,"[[127 0.5 -134]
 [161 0.5 -93]
 [132 0.5 -95]]","[[104 15.5 -98]
 [185 15.5 -69]]",[[242 0.5 -14]],[],[[6 0.5 -228]],[]
3170,"[[92 0.5 -86]
 [160 0.5 -145]]","[[163 19.5 -105]
 [220 19.5 -52]]",[[15 0.5 -233]],[],[],[]
3171,"[[120 0.5 -168]
 [174 0.5 -148]]","[[127 5.5 -166]
 [44 5.5 -39]]",[],[],[[214 0.5 -208]],[]
3172,"[[120 0.5 -88]
 [160 0.5 -154]
 [147 0.5 -85]]","[[170 0.5 -148]
 [176 0.5 -48]]",[],[],[],[]
3173,"[[157 0.5 -88]
 [149 0.5 -151]]","[[150 1.5 -128]
 [163 1.5 -171]
 [76 1.5 -97]]",[],[],[],[[236 1.5 -248]]
3174,"[[78 0.5 -123]
 [87 0.5 -153]
 [56 0.5 -202]]",[[173 11.5 -167]],[[246 0.5 -7]],[],[],[[200 1.5 -45]]
3175,"[[143 0.5 -116]
 [98 0.5 -75]
 [177 0.5 -25]]","[[136 11.5 -140]
 [129 11.5 -149]
 [39 11.5 -187]]","[[46 0.5 -36]
 [6 0.5 -227]]",[],[],[]
3176,"[[159 0.5 -136]
 [173 0.5 -155]]",[[173 9.5 -152]],[[241 0.5 -231]],[],[],[]
3177,"[[167 0.5 -156]
 [109 0.5 -91]
 [108 0.5 -112]
 [80 0.5 -146]]","[[148 19.5 -148]
 [174 19.5 -100]
 [81 19.5 -122]]",[[11 0.5 -236]],[],[[48 0.5 -72]],[]
3178,"[[147 0.5 -106]
 [144 0.5 -165]
 [76 0.5 -133]]","[[103 12.5 -100]
 [101 12.5 -77]]",[],[],[[191 0.5 -57]],[[248 1.5 -5]]
